"subNumber","automation","nback","runNumber","eventType","type","steering","rt","jerk","minTTC","crash","Age"
2,"MD","No Task",1,"ONCOMING_VEHICLES","Mainly brake",0,0.416699999999992,1.25837691353103,0.919154504423316,0,25
2,"PAD","No Task",2,"ONCOMING_VEHICLES","Mainly brake",0,0.983299999999986,-0.37813058940593,0,1,25
2,"PAD","No Task",2,"LEFT_PEDESTRIAN","Mainly brake",0,1.23329999999999,0.53279926722087,2.17406409247379,0,25
2,"PAD","No Task",2,"RIGHT_PEDESTRIAN","Mainly brake",0,2.91669999999999,0.742004286448869,0,1,25
2,"PAD","2-Back",3,"LEFT_PEDESTRIAN","Mainly brake",0,1.33329999999995,0.75150914969954,2.14645485721307,0,25
2,"PAD","2-Back",3,"RIGHT_PEDESTRIAN","Mainly brake",0,1.41670000000005,0.826093662115432,2.11615151015796,0,25
2,"PAD","2-Back",3,"ONCOMING_VEHICLES","Mainly brake",0,0.183300000000031,0.637093453510424,1.20112716905748,0,25
2,"MD","2-Back",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.29999999999998,1.07961973192841,2.238449004704,0,25
2,"MD","2-Back",4,"RIGHT_PEDESTRIAN","Mainly brake",0,2.48329999999999,1.05457030953183,1.4230110959714,0,25
2,"MD","2-Back",4,"ONCOMING_VEHICLES","Mainly brake",0,-3.19999999999999,-0.891490348704665,5.21195704546491,0,25
3,"MD","No Task",1,"RIGHT_PEDESTRIAN","Mainly brake",0,2.25,-0.583152252552941,1.13104572991808,0,52
3,"MD","No Task",1,"LEFT_PEDESTRIAN","Mainly brake",0,1.40000000000003,0.389257463778522,2.60985184144741,0,52
3,"MD","2-Back",2,"LEFT_PEDESTRIAN","Brake and steer",1,1.36669999999998,-0.00115146758723945,0.176451381282873,0,52
3,"MD","2-Back",2,"RIGHT_PEDESTRIAN","Mainly brake",0,0.733299999999986,0.0172572842133711,1.72278267683295,0,52
3,"MD","2-Back",2,"ONCOMING_VEHICLES","Mainly brake",0,-0.949999999999989,-0.886503968484778,1.93560969343396,0,52
3,"PAD","No Task",3,"ONCOMING_VEHICLES","Mainly brake",0,0.75,-1.14920192346974,0,1,52
3,"PAD","No Task",3,"LEFT_PEDESTRIAN","Mainly brake",0,1.4667,-1.09233302989513,0.923471021453733,0,52
3,"PAD","No Task",3,"RIGHT_PEDESTRIAN","Mainly brake",0,1.95000000000005,-0.859989134078512,0,1,52
3,"PAD","2-Back",4,"ONCOMING_VEHICLES","Mainly brake",0,0.450000000000017,-0.314940608616005,0,1,52
3,"PAD","2-Back",4,"RIGHT_PEDESTRIAN","Mainly brake",0,1.89999999999998,0.803924461115818,1.5545954304844,0,52
3,"PAD","2-Back",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.7833,0.746385910044281,1.66844584774219,0,52
4,"MD","No Task",1,"LEFT_PEDESTRIAN","Mainly brake",0,2.1334,-1.55188876808791,4.38129551454165,0,30
4,"MD","No Task",1,"ONCOMING_VEHICLES","Mainly brake",0,0.700000000000045,-0.264831843598836,0,1,30
4,"MD","2-Back",2,"LEFT_PEDESTRIAN","Mainly brake",0,2.06669999999997,-1.70532064838611,5.14811898641565,0,30
4,"MD","2-Back",2,"RIGHT_PEDESTRIAN","Mainly brake",0,1.4667,0.373263045970625,1.72321205940762,0,30
4,"PAD","2-Back",3,"RIGHT_PEDESTRIAN","Mainly brake",0,1.23340000000002,0.0465584961713445,2.23839691966524,0,30
4,"PAD","2-Back",3,"LEFT_PEDESTRIAN","Mainly brake",0,2.06670000000003,1.2551239830711,1.4976052085175,0,30
4,"PAD","2-Back",3,"ONCOMING_VEHICLES","Mainly brake",0,-0.399999999999977,-0.00699530724630658,1.58002829842077,0,30
4,"PAD","No Task",4,"RIGHT_PEDESTRIAN","Mainly brake",0,1.2167,-0.698882592921787,1.88979669082065,0,30
4,"PAD","No Task",4,"ONCOMING_VEHICLES","Mainly brake",0,-0.566699999999969,-0.572973160240439,1.48883417926558,0,30
4,"PAD","No Task",4,"LEFT_PEDESTRIAN","Mainly brake",0,1.58330000000001,0.896371344145166,1.93576327268564,0,30
5,"MD","No Task",1,"RIGHT_PEDESTRIAN","Mainly brake",0,2.48329999999999,0.629658609760263,2.44357727104601,0,54
5,"MD","No Task",1,"LEFT_PEDESTRIAN","Mainly brake",0,1.76670000000001,1.0827425115947,1.34191678463807,0,54
5,"MD","No Task",1,"ONCOMING_VEHICLES","Mainly brake",0,0.583399999999983,0.568380080385076,2.33287371990802,0,54
5,"PAD","2-Back",2,"LEFT_PEDESTRIAN","Mainly brake",0,1.53339999999997,0.775778725946641,1.92181218162514,0,54
5,"PAD","2-Back",2,"RIGHT_PEDESTRIAN","Mainly brake",0,1.68329999999997,-0.786716493999508,1.27937081940208,0,54
5,"PAD","2-Back",2,"ONCOMING_VEHICLES","Mainly brake",0,0.53329999999994,-1.92675727826591,0,1,54
5,"PAD","No Task",3,"LEFT_PEDESTRIAN","Mainly brake",0,1.6334,-0.647514337862384,1.0343035175316,0,54
5,"PAD","No Task",3,"ONCOMING_VEHICLES","Mainly brake",0,0.36669999999998,0.878773303566016,1.04190681226905,0,54
5,"PAD","No Task",3,"RIGHT_PEDESTRIAN","Mainly brake",0,1.65000000000003,-0.254326932399497,1.64121754740033,0,54
